# t alphaD area se kMix epsMix kC kD epsC epsD ReLambdaC ReLambdaD uAvgCx uAvgCy uAvgCz uAvgDx uAvgDy uAvgDz
1.1340100000000000e+01 6.5724619999999997e-02 2.4525680000000000e+02 3.3803020000000003e-02 9.4088519999999998e-01 4.0415020000000001e-01 1.0001050000000000e+00 9.9075729999999995e-01 3.9655020000000002e-01 5.1218359999999996e-01 9.3328819999999993e+01 8.1353019999999994e+00 2.5288809999999998e-02 9.4944950000000004e-03 -2.4280290000000000e-02 2.2121940000000000e-02 5.0731229999999999e-04 -8.5652599999999995e-02
1.1350099999999999e+01 6.5724270000000001e-02 2.4533539999999999e+02 3.3813849999999999e-02 9.4089230000000001e-01 4.0408420000000000e-01 1.0001119999999999e+00 9.9074790000000001e-01 3.9645690000000000e-01 5.1250689999999999e-01 9.3340479999999999e+01 8.1326579999999993e+00 2.5294819999999999e-02 9.4891509999999995e-03 -2.4271520000000001e-02 2.2283870000000001e-02 -4.4934789999999999e-04 -8.4442020000000007e-02
1.1360099999999999e+01 6.5723920000000005e-02 2.4534490000000000e+02 3.3815169999999999e-02 9.4091290000000005e-01 4.0403129999999998e-01 1.0001359999999999e+00 9.9049520000000002e-01 3.9637119999999998e-01 5.1291989999999998e-01 9.3352760000000004e+01 8.1273099999999996e+00 2.5296840000000001e-02 9.4814800000000005e-03 -2.4262519999999999e-02 2.2516860000000000e-02 -1.4537440000000001e-03 -8.3286399999999997e-02
1.1370100000000001e+01 6.5723580000000004e-02 2.4536699999999999e+02 3.3818220000000003e-02 9.4092290000000001e-01 4.0395439999999999e-01 1.0001469999999999e+00 9.9038420000000005e-01 3.9627570000000001e-01 5.1310909999999998e-01 9.3365049999999997e+01 8.1249009999999995e+00 2.5289530000000001e-02 9.4791419999999994e-03 -2.4251260000000000e-02 2.2877069999999999e-02 -2.6269580000000000e-03 -8.2253110000000004e-02
1.1380100000000001e+01 6.5723229999999994e-02 2.4535489999999999e+02 3.3816550000000001e-02 9.4092830000000005e-01 4.0387550000000000e-01 1.0001519999999999e+00 9.9040059999999996e-01 3.9617999999999998e-01 5.1327000000000000e-01 9.3376829999999998e+01 8.1237619999999993e+00 2.5285280000000000e-02 9.4710860000000001e-03 -2.4239790000000001e-02 2.3150380000000002e-02 -3.7903300000000002e-03 -8.1292779999999995e-02
1.1390100000000000e+01 6.5722890000000006e-02 2.4534160000000000e+02 3.3814709999999998e-02 9.4093410000000000e-01 4.0380240000000001e-01 1.0001580000000001e+00 9.9042209999999997e-01 3.9608470000000001e-01 5.1351210000000003e-01 9.3388589999999994e+01 8.1220230000000004e+00 2.5285309999999998e-02 9.4683179999999999e-03 -2.4234510000000001e-02 2.3349379999999999e-02 -5.1017349999999996e-03 -8.0339170000000001e-02
1.1400100000000000e+01 6.5722539999999996e-02 2.4537790000000001e+02 3.3819719999999998e-02 9.4092880000000001e-01 4.0374139999999997e-01 1.0001500000000001e+00 9.9077640000000000e-01 3.9600859999999999e-01 5.1366750000000005e-01 9.3396780000000007e+01 8.1236990000000002e+00 2.5287799999999999e-02 9.4569070000000005e-03 -2.4233780000000000e-02 2.3496969999999999e-02 -6.3232719999999996e-03 -7.9408750000000000e-02
1.1410100000000000e+01 6.5722199999999995e-02 2.4539689999999999e+02 3.3822339999999999e-02 9.4091510000000000e-01 4.0368979999999999e-01 1.0001300000000000e+00 9.9143970000000003e-01 3.9594040000000003e-01 5.1385179999999997e-01 9.3402979999999999e+01 8.1276810000000008e+00 2.5292300000000000e-02 9.4446300000000007e-03 -2.4224289999999999e-02 2.3569000000000000e-02 -7.5742570000000000e-03 -7.8669619999999996e-02
1.1420100000000000e+01 6.5721859999999993e-02 2.4539869999999999e+02 3.3822590000000000e-02 9.4090689999999999e-01 4.0364450000000002e-01 1.0001160000000000e+00 9.9218070000000003e-01 3.9588790000000001e-01 5.1390930000000001e-01 9.3407839999999993e+01 8.1333000000000002e+00 2.5291060000000001e-02 9.4344609999999999e-03 -2.4204739999999999e-02 2.3685620000000001e-02 -8.8468990000000001e-03 -7.8176369999999995e-02
1.1430099999999999e+01 6.5721520000000005e-02 2.4539410000000001e+02 3.3821940000000002e-02 9.4090070000000003e-01 4.0361480000000000e-01 1.0001030000000000e+00 9.9294910000000003e-01 3.9585189999999998e-01 5.1397050000000000e-01 9.3410929999999993e+01 8.1391139999999993e+00 2.5297569999999998e-02 9.4283500000000003e-03 -2.4189450000000001e-02 2.3632830000000001e-02 -1.0154310000000000e-02 -7.7685889999999994e-02
1.1440099999999999e+01 6.5721180000000004e-02 2.4533449999999999e+02 3.3813730000000000e-02 9.4089739999999999e-01 4.0357929999999997e-01 1.0000940000000000e+00 9.9374549999999995e-01 3.9581889999999997e-01 5.1389879999999999e-01 9.3413939999999997e+01 8.1462100000000000e+00 2.5312280000000000e-02 9.4298139999999999e-03 -2.4164310000000001e-02 2.3414399999999998e-02 -1.1558400000000000e-02 -7.7399179999999998e-02
1.1450100000000001e+01 6.5720840000000003e-02 2.4527869999999999e+02 3.3806049999999997e-02 9.4089250000000002e-01 4.0358860000000002e-01 1.0000819999999999e+00 9.9468630000000002e-01 3.9582529999999999e-01 5.1395049999999998e-01 9.3412040000000005e+01 8.1535130000000002e+00 2.5330340000000000e-02 9.4296380000000006e-03 -2.4147570000000000e-02 2.3124820000000001e-02 -1.2881419999999999e-02 -7.7053150000000001e-02
1.1460100000000001e+01 6.5720500000000001e-02 2.4523540000000000e+02 3.3800070000000002e-02 9.4089239999999996e-01 4.0361439999999998e-01 1.0000739999999999e+00 9.9569479999999999e-01 3.9583299999999999e-01 5.1423470000000004e-01 9.3410439999999994e+01 8.1595230000000001e+00 2.5352110000000001e-02 9.4235020000000003e-03 -2.4131360000000001e-02 2.2753530000000001e-02 -1.4102040000000000e-02 -7.6765189999999997e-02
1.1470100000000000e+01 6.5720160000000000e-02 2.4520020000000000e+02 3.3795230000000002e-02 9.4089880000000004e-01 4.0363680000000002e-01 1.0000739999999999e+00 9.9664280000000005e-01 3.9584599999999998e-01 5.1439109999999999e-01 9.3408879999999996e+01 8.1660509999999995e+00 2.5364830000000001e-02 9.4060289999999998e-03 -2.4109749999999999e-02 2.2492590000000000e-02 -1.5115530000000000e-02 -7.6598159999999998e-02
1.1480100000000000e+01 6.5719819999999998e-02 2.4513790000000000e+02 3.3786640000000000e-02 9.4091510000000000e-01 4.0365970000000001e-01 1.0000860000000000e+00 9.9734909999999999e-01 3.9586240000000000e-01 5.1450620000000002e-01 9.3408079999999998e+01 8.1709230000000002e+00 2.5386360000000000e-02 9.3811499999999996e-03 -2.4094200000000000e-02 2.2047210000000001e-02 -1.5960630000000000e-02 -7.6432650000000005e-02
1.1490100000000000e+01 6.5719470000000002e-02 2.4506800000000001e+02 3.3777000000000001e-02 9.4093810000000000e-01 4.0370109999999998e-01 1.0001070000000001e+00 9.9784430000000002e-01 3.9589099999999999e-01 5.1473159999999996e-01 9.3406660000000002e+01 8.1731909999999992e+00 2.5403249999999999e-02 9.3423770000000007e-03 -2.4076380000000001e-02 2.1657139999999998e-02 -1.6561170000000000e-02 -7.6350589999999996e-02
1.1500100000000000e+01 6.5719139999999995e-02 2.4501280000000000e+02 3.3769399999999998e-02 9.4095799999999996e-01 4.0373460000000000e-01 1.0001249999999999e+00 9.9827460000000001e-01 3.9591559999999998e-01 5.1489189999999996e-01 9.3405429999999996e+01 8.1754420000000003e+00 2.5433239999999999e-02 9.3061619999999998e-03 -2.4059310000000000e-02 2.1049630000000000e-02 -1.7125880000000000e-02 -7.6293719999999995e-02
1.1510100000000000e+01 6.5718799999999994e-02 2.4488829999999999e+02 3.3752240000000003e-02 9.4097240000000004e-01 4.0374660000000001e-01 1.0001370000000001e+00 9.9866860000000002e-01 3.9593270000000003e-01 5.1483109999999999e-01 9.3404560000000004e+01 8.1791509999999992e+00 2.5452740000000001e-02 9.2771160000000002e-03 -2.4044989999999999e-02 2.0576000000000001e-02 -1.7742520000000001e-02 -7.6235750000000005e-02
1.1520099999999999e+01 6.5718460000000006e-02 2.4481510000000000e+02 3.3742149999999999e-02 9.4098099999999996e-01 4.0377200000000002e-01 1.0001430000000000e+00 9.9903969999999997e-01 3.9596779999999998e-01 5.1472010000000001e-01 9.3401009999999999e+01 8.1830730000000003e+00 2.5462300000000000e-02 9.2369900000000005e-03 -2.4035230000000001e-02 2.0241140000000001e-02 -1.8138209999999998e-02 -7.6131149999999995e-02
1.1530099999999999e+01 6.5718130000000000e-02 2.4476720000000000e+02 3.3735550000000003e-02 9.4098890000000002e-01 4.0381020000000001e-01 1.0001490000000000e+00 9.9933369999999999e-01 3.9601609999999998e-01 5.1461520000000005e-01 9.3395880000000005e+01 8.1863159999999997e+00 2.5475359999999999e-02 9.1918090000000004e-03 -2.4028979999999998e-02 1.9825309999999999e-02 -1.8410110000000000e-02 -7.5984599999999999e-02
